# ema_long, ema_short, sma_long, sma_short, target
1.100000000000000000e+01,1.000000000000000000e+01,4.172324489508196166e+01,1.000000000000000000e+00,-3.627676861819573162e-01
2.792951778198586155e+01,1.000000000000000000e+01,2.902764686379505221e+01,1.000000000000000000e+01,2.427750737423387317e+00
3.931123093689939196e+01,2.000000000000000000e+00,3.002978027458019739e+01,1.000000000000000000e+00,2.169977170528627042e+00
5.512568862630844535e+01,1.000000000000000000e+01,1.916747130765492813e+01,1.000000000000000000e+01,5.490039671098790208e+00
5.404743955750758033e+01,3.701564572731555369e+00,2.086836510166359560e+01,1.000000000000000000e+01,2.618883128767818036e+00
6.000000000000000000e+01,1.000000000000000000e+01,1.756793305864803756e+01,1.000000000000000000e+01,5.329986283166488370e+00
6.000000000000000000e+01,1.000000000000000000e+01,2.464019044510795808e+01,1.000000000000000000e+01,4.013859388423145269e+00
5.635746961732185412e+01,1.000000000000000000e+01,1.499576576566006203e+01,1.000000000000000000e+01,4.222714483408577024e+00
5.125045706616784003e+01,1.000000000000000000e+01,2.039463224901748362e+01,5.479312597054139644e+00,2.457846998107851011e+00
5.798385984045279429e+01,1.000000000000000000e+01,1.985081193294895030e+01,8.307317090828005846e+00,4.314981115354309615e+00
4.920233572000825006e+01,2.000000000000000000e+00,5.400457682715201457e+01,6.256805648161501310e+00,2.631122465002551536e+00
4.857594257279674110e+01,1.000000000000000000e+01,1.622387300781744912e+01,1.000000000000000000e+01,3.757802829313057646e+00
4.516864797502825013e+01,6.581976698910460222e+00,6.000000000000000000e+01,7.946911466561966897e+00,3.737908967974657770e+00
2.505544849641068694e+01,4.311628345456886002e+00,4.011864308746437047e+01,3.099217735458750678e+00,2.786436784526816979e+00
6.000000000000000000e+01,6.523458969124648732e+00,1.871241246149823212e+01,1.000000000000000000e+01,5.251224182938273088e+00
5.564546092640620145e+01,1.000000000000000000e+01,5.311097287310331438e+01,1.000000000000000000e+01,2.966811936703543484e+00
3.486042940154555225e+01,1.000000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,4.389634334404489024e+00
3.861997989020900235e+01,7.092135245318962333e+00,5.560996336976887733e+01,1.000000000000000000e+01,4.937607948324712837e+00
